Congruent,Incongruent,d,x-bar-d,x-bar-c,x-bar-i,(xi - xc)^2,,
12.079,19.278,7.199,7.964791667,14.051125,22.01591667,0.586436877,sum,544.33044
16.791,18.741,1.95,,,,36.17771879,ve,23.66654087
9.564,21.214,11.65,,,,13.58076046,se,4.86482691
8.63,15.687,7.057,,,,0.82408571,t,8.186099746
14.669,22.803,8.134,,,,0.02863146,,
12.238,20.878,8.64,,,,0.455906293,,
14.692,24.572,9.88,,,,3.66802296,,
8.987,17.394,8.407,,,,0.19554821,,
9.401,20.762,11.361,,,,11.53423104,,
14.48,26.282,11.802,,,,14.72416779,,
22.328,24.524,2.196,,,,33.27895729,,
15.298,18.644,3.346,,,,21.33323646,,
15.073,17.51,2.437,,,,30.55648071,,
16.929,20.33,3.401,,,,20.82819438,,
18.2,35.255,17.055,,,,82.63188754,,
12.13,22.158,10.028,,,,4.256828627,,
18.495,25.139,6.644,,,,1.744490627,,
10.639,20.429,9.79,,,,3.33138546,,
11.344,17.425,6.081,,,,3.548671043,,
12.369,34.288,21.919,,,,194.7199302,,
12.944,23.894,10.95,,,,8.911468793,,
14.233,17.96,3.727,,,,17.95887821,,
19.71,22.058,2.348,,,,31.54834863,,
16.004,21.157,5.153,,,,7.906172377,,